183,NULL ?,nmapScan
184,XMAS?,nmapScan
185,RPC ?,rpc
186,IDLE ?,nmapScan
187,TCP three-way handshake,tcp
188,SYN packet？,syn
189,ACK packet?,ack
190,FIN packet?,fin
191,RPC service?,rpc
192,Trojan horses?,networkAttacks
193,SYN flood?,syn
194,zombie host?,networkAttacks
195,whitehats,networkAttacks
196,white-box,networkAttacks
197,vulnerabilities,networkAttacks
198,whitehats meaning?,networkAttacks
199,zombie attack,networkAttacks
200, use command ,metasploitCommands
201, back command?,metasploitCommands
202,exit command ,metasploitCommands
203, help command ,metasploitCommands
204, info command in Metasploit ,metasploitCommands
205, search command ,metasploitCommands
206, set command ,metasploitCommands
207,show command ,metasploitCommands
208,show payloads command ,metasploitCommands
209,show targets command ,metasploitCommands
210,show advanced command ,metasploitCommands
211,show nops command ,metasploitCommands
212,show evasion command in Metasploit do?,metasploitCommands
213, run and exploit command ?,metasploitCommands
214,How to use nmap to check if a firewall is statefull or stateless?,nmapScan
215,how to infer the deny-by-default firewall policy based on the scanning responses from the firewall?,nmapScan
216,how to infer stateful or stateless firewall policies setup based on the scanning responses from the firewall.,nmapScan
217,"What is the difference between standard scan, SYN scan, and ACK scan?",nmapScan
218,How to implement a IP ID (Idle) scanning?,nmapScan
219,How to do a UDP scan?,nmapCommands
220,How to do a SYN scan?,syn
221,How to do a ACK scan?,ack
222,How to manipulate source ports of transmitted packets using nmap?,nmapCommands
223,How to set TCP flags when doing scan using nmap?,nmapCommands
224,How to identify IDS using NMAP,nmapCommands
225,How to forge RST packets by firewalls and IDS/IPS?,fireWall
226,How to monitor TTL jumps using nmap?,nmapScan
227,How to do stealthy scans using namp?,nmapScan
228,How to change scan speed when using nmap?,nmapScan
229,How to scatter probes across networks rather than scanning hosts consecutively when doing nmap scan?,nmapCommands
230,How to change IP fragment size of nmap scan? ,nmapCommands
231,How to use decoys in nmap?,nmapCommands
232,How to do port scan from a spoofed IP addres using nmap?,nmapCommands
233,How to setup DNS proxying for nmap?,nmapCommands
234,What is Kali?,kali
235,kali is linux based?,kali
236,kali linux,kali
237,what is kali used for,kali
238,USE Command,metasploitCommands
239,BACK command ,metasploitCommands
240,Exit command,metasploitCommands
241,HELP command,metasploitCommands
242,INFO command ,metasploitCommands
243,SEARCH command ,metasploitCommands
244,SET command,metasploitCommands
245,SHOW command ,metasploitCommands
246,SHOW PAYLOADS ,metasploitCommands
247,SHOW TARGETS ,metasploitCommands
248,SHOW ADVANCED command ,metasploitCommands
249,show nops,metasploitCommands
250,show evasion ,metasploitCommands
251,run and exploit command ,metasploitCommands
252,msfconsole,msfconsole
253,MSF,msfconsole
254,"what is the difference between responding time of standard scan, SYN scan and ACK scan?",nmapScan
255,How to Scan a Single IP,nmapCommands
256,How to Scan a Host,nmapCommands
257,How to Scan a multiple Ips?,nmapCommands
258,How to Scan a range of Ips,nmapCommands
259,How to Scan using wildcard?,nmapCommands
260,How to Scan a subnet?,nmapCommands
261,how to Scan target from text file?,nmapCommands
262,how to Scan a single port,nmapCommands
263,how to Scan a range of ports,nmapCommands
264,how to Scan multiple ports?,nmapCommands
265,how to Scan popular ports?,nmapCommands
266,how to Scan n most popular ports?,nmapCommands
267,how to Scan all 65535 ports?,nmapCommands
268,how to Scan linearly i.e. do not randomize ports?,nmapCommands
269,how to scan sequentially,nmapCommands
270,how to a TCP Connect Scan?,nmapCommands
271,how to do a Version Scan?,nmapCommands
272,how to perform OS Detection?,nmapCommands
273,how to set custom list of TCP using “URGACKPSHRSTSYNFIN” in any order and combination?,nmapCommands
274,how to set custom list ,nmapCommands
275,how to use Don’t  probe i.e. assuming all hosts are up in nmap,nmapCommands
276,"how to use Default probe (TCP, 80, 443 & ICMP) options in nmap",nmapCommands
277,how to check whether targets are up by probing TCP ports,nmapCommands
278,how to Use ICMP Echo Request,icmp
279,how to Use ICMP TimeStamp Request,icmp
280,how to Use ICMP Network Request,icmp
281,"how to use Nmap Aggregate Timing Options - Very Slow, to evade from network administrator",nmapCommands
282,"how to use Nmap Aggregate Timing Options – Quite Slow, used for evasion from network administrator",nmapCommands
283,"how to use Nmap Aggregate Timing Options – Polite, to use less bandwidth",nmapCommands
284,how to use Nmap Aggregate Timing Options – Normal: Default,nmapCommands
285,how to use Nmap Aggregate Timing Options - Aggressive: fast,nmapCommands
286,how to use Nmap Aggregate Timing Options - Insane: Very Aggressive,nmapCommands
287,what is the Standard Nmap output,nmapCommands
288,how to use Greppable format in nmap?,nmapCommands
289,how to use XML output format in nmap,nmapCommands
290,"how to Generate Nmap, Greppable, and XML output files using basename",nmapCommands
291,how to Disable reverse IP address lookup,nmapCommands
292,how to Use IPv6 in nmap,nmapCommands
293,"how to use nmap for OS detection, Version detection, Script Scanning and traceroot",nmapCommands
294,"how to Display reason Nmap thinks port is open, closed or filtered?",nmapCommands
295,how to use TCP syn scan(-sS) all ports (-p-)  with speed (-T3) and results save in tcpscan.txt,nmapCommands
296,how to use Nmap command to run all available scripts against the target IP,nmapCommands
297,how to use UDP scan(-sU) all ports (-p-)  with speed (-T3) and results save in udpscan.txt,nmapCommands
